name;capture_rate;height_m;weight_kg;classification;type
Darumaka;120.0;0.6;5;Zen Charm Pokémon;fire
Grotle;45.0;1.1;4;Grove Pokémon;grass
Wartortle;45.0;1.0;1;Turtle Pokémon;water
Kommo-o;45.0;1.6;7;Scaly Pokémon;fighting
Wooper;255.0;0.4;2;Water Fish Pokémon;ground
Durant;90.0;0.3;5;Iron Ant Pokémon;steel
Minun;200.0;0.4;3;Cheering Pokémon;electric
Forretress;75.0;1.2;2;Bagworm Pokémon;steel
Deerling;190.0;0.6;5;Season Pokémon;grass
Dustox;45.0;1.2;3;Poison Moth Pokémon;poison
Sandile;180.0;0.7;5;Desert Croc Pokémon;dark
Nidorina;120.0;0.8;1;Poison Pin Pokémon;poison
Pikipek;255.0;0.3;7;Woodpecker Pokémon;flying
Farfetch'd;45.0;0.8;1;Wild Duck Pokémon;flying
Combee;120.0;0.3;4;Tiny Bee Pokémon;flying
Trumbeak;120.0;0.6;7;Bugle Beak Pokémon;flying
Vanillite;255.0;0.4;5;Fresh Snow Pokémon;ice
Slugma;190.0;0.7;2;Lava Pokémon;fire
Lopunny;60.0;1.2;4;Rabbit Pokémon;normal
Magby;45.0;0.7;2;Live Coal Pokémon;fire
Crobat;90.0;1.8;2;Bat Pokémon;flying
Manaphy;3.0;0.3;4;Seafaring Pokémon;water
Riolu;75.0;0.7;4;Emanation Pokémon;fighting
Dewgong;75.0;1.7;1;Sea Lion Pokémon;ice
Probopass;60.0;1.4;4;Compass Pokémon;steel
Togetic;75.0;0.6;2;Happiness Pokémon;flying
Munna;190.0;0.6;5;Dream Eater Pokémon;psychic
Larvesta;45.0;1.1;5;Torch Pokémon;fire
Kirlia;120.0;0.8;3;Emotion Pokémon;fairy
Psyduck;190.0;0.8;1;Duck Pokémon;water
Mandibuzz;60.0;1.2;5;Bone Vulture Pokémon;flying
Bidoof;255.0;0.5;4;Plump Mouse Pokémon;normal
Venonat;190.0;1.0;1;Insect Pokémon;poison
Flabébé;225.0;0.1;6;Single Bloom Pokémon;fairy
Fearow;90.0;1.2;1;Beak Pokémon;flying
Suicune;3.0;2.0;2;Aurora Pokémon;water
Scyther;45.0;1.5;1;Mantis Pokémon;flying
Ursaring;60.0;1.8;2;Hibernator Pokémon;normal
Furfrou;160.0;1.2;6;Poodle Pokémon;normal
Karrablast;200.0;0.5;5;Clamping Pokémon;ghost
Bagon;45.0;0.6;3;Rock Head Pokémon;dragon
Stunfisk;75.0;0.7;5;Trap Pokémon;electric
Dusknoir;45.0;2.2;4;Gripper Pokémon;ghost
Florges;45.0;1.1;6;Garden Pokémon;fairy
Porygon2;45.0;0.6;2;Virtual Pokémon;normal
Spritzee;200.0;0.2;6;Perfume Pokémon;fairy
Talonflame;45.0;1.2;6;Scorching Pokémon;flying
Golisopod;45.0;2.0;7;Hard Scale Pokémon;water
Metapod;120.0;0.7;1;Cocoon Pokémon;bug
Sewaddle;255.0;0.3;5;Sewing Pokémon;grass
Torkoal;90.0;0.5;3;Coal Pokémon;fairy
Garbodor;60.0;1.9;5;Trash Heap Pokémon;poison
Volcarona;15.0;1.6;5;Sun Pokémon;fire
Chespin;45.0;0.4;6;Spiky Nut Pokémon;grass
Bewear;70.0;2.1;7;Strong Arm Pokémon;fighting
Bouffalant;45.0;1.6;5;Bash Buffalo Pokémon;normal
Quilava;45.0;0.9;2;Volcano Pokémon;fire
Swirlix;200.0;0.4;6;Cotton Candy Pokémon;fairy
Mimikyu;45.0;0.2;7;Disguise Pokémon;fairy
Tapu Lele;3.0;1.2;7;Land Spirit Pokémon;fairy
Buizel;190.0;0.7;4;Sea Weasel Pokémon;water
Roselia;150.0;0.3;3;Thorn Pokémon;poison
Skiddo;200.0;0.9;6;Mount Pokémon;grass
Hoothoot;255.0;0.7;2;Owl Pokémon;flying
Frillish;190.0;1.2;5;Floating Pokémon;ghost
Illumise;150.0;0.6;3;Firefly Pokémon;bug
Rayquaza;45.0;7.0;3;Sky High Pokémon;flying
Luxray;45.0;1.4;4;Gleam Eyes Pokémon;electric
Gourgeist;60.0;1.7;6;Pumpkin Pokémon;grass
Lapras;45.0;2.5;1;Transport Pokémon;ice
Spoink;255.0;0.7;3;Bounce Pokémon;psychic
Dialga;3.0;5.4;4;Temporal Pokémon;dragon
Oshawott;45.0;0.5;5;Sea Otter Pokémon;water
Beldum;3.0;0.6;3;Iron Ball Pokémon;psychic
Toucannon;45.0;1.1;7;Cannon Pokémon;flying
Wigglytuff;50.0;1.0;1;Balloon Pokémon;fairy
Swanna;45.0;1.3;5;White Bird Pokémon;flying
Grubbin;255.0;0.4;7;Larva Pokémon;bug
Skarmory;25.0;1.7;2;Armor Bird Pokémon;flying
Mienfoo;180.0;0.9;5;Martial Arts Pokémon;fighting
Litwick;190.0;0.3;5;Candle Pokémon;fire
Wynaut;125.0;0.6;3;Bright Pokémon;psychic
Frogadier;45.0;0.6;6;Bubble Frog Pokémon;water
Purugly;75.0;1.0;4;Tiger Cat Pokémon;normal
Shroomish;255.0;0.4;3;Mushroom Pokémon;grass
Tauros;45.0;1.4;1;Wild Bull Pokémon;normal
Dusclops;90.0;1.6;3;Beckon Pokémon;ghost
Conkeldurr;45.0;1.4;5;Muscular Pokémon;fighting
Nidoqueen;45.0;1.3;1;Drill Pokémon;ground
Slaking;45.0;2.0;3;Lazy Pokémon;normal
Beautifly;45.0;1.0;3;Butterfly Pokémon;flying
Ribombee;75.0;0.2;7;Bee Fly Pokémon;fairy
Xatu;75.0;1.5;2;Mystic Pokémon;flying
Tranquill;120.0;0.6;5;Wild Pigeon Pokémon;flying
Happiny;130.0;0.6;4;Playhouse Pokémon;normal
Nidorino;120.0;0.9;1;Poison Pin Pokémon;poison
Dunsparce;190.0;1.5;2;Land Snake Pokémon;normal
Groudon;3.0;3.5;3;Continent Pokémon;ground
Gligar;60.0;1.1;2;Flyscorpion Pokémon;flying
Quagsire;90.0;1.4;2;Water Fish Pokémon;ground
Palossand;60.0;1.3;7;Sand Castle Pokémon;ground
Togedemaru;180.0;0.3;7;Roly-Poly Pokémon;steel
Minccino;255.0;0.4;5;Chinchilla Pokémon;normal
Banette;45.0;1.1;3;Marionette Pokémon;ghost
Gumshoos;127.0;0.7;7;Stakeout Pokémon;normal
Doduo;190.0;1.4;1;Twin Bird Pokémon;flying
Latias;3.0;1.4;3;Eon Pokémon;psychic
Luxio;120.0;0.9;4;Spark Pokémon;electric
Rhydon;60.0;1.9;1;Drill Pokémon;rock
Wormadam;45.0;0.5;4;Bagworm Pokémon;grass
Infernape;45.0;1.2;4;Flame Pokémon;fighting
Heracross;45.0;1.5;2;Singlehorn Pokémon;fighting
Simisear;75.0;1.0;5;Ember Pokémon;fire
Roggenrola;255.0;0.4;5;Mantle Pokémon;rock
Dodrio;45.0;1.8;1;Triple Bird Pokémon;flying
Cherrim;75.0;0.5;4;Blossom Pokémon;grass
Kyurem;3.0;3.0;5;Boundary Pokémon;ice
Aron;180.0;0.4;3;Iron Armor Pokémon;rock
Eevee;45.0;0.3;1;Evolution Pokémon;normal
Jumpluff;45.0;0.8;2;Cottonweed Pokémon;flying
Boldore;120.0;0.9;5;Ore Pokémon;rock
Kadabra;100.0;1.3;1;Psi Pokémon;ghost
Spewpa;120.0;0.3;6;Scatterdust Pokémon;bug
Chesnaught;45.0;1.6;6;Spiny Armor Pokémon;fighting
Eelektrik;60.0;1.2;5;EleFish Pokémon;electric
Meganium;45.0;1.8;2;Herb Pokémon;grass
Squirtle;45.0;0.5;1;Tiny Turtle Pokémon;water
Steenee;120.0;0.7;7;Fruit Pokémon;grass
Snubbull;190.0;0.6;2;Fairy Pokémon;fairy
Machoke;90.0;1.5;1;Superpower Pokémon;fighting
Pangoro;65.0;2.1;6;Daunting Pokémon;dark
Golbat;90.0;1.6;1;Bat Pokémon;flying
Voltorb;190.0;0.5;1;Ball Pokémon;electric
Cloyster;60.0;1.5;1;Bivalve Pokémon;ice
Galvantula;75.0;0.8;5;EleSpider Pokémon;electric
Goldeen;225.0;0.6;1;Goldfish Pokémon;water
Purrloin;255.0;0.4;5;Devious Pokémon;dark
Passimian;45.0;2.0;7;Teamwork Pokémon;fighting
Morelull;190.0;0.2;7;Illuminating Pokémon;fairy
Hitmontop;45.0;1.4;2;Handstand Pokémon;normal
Unfezant;45.0;1.2;5;Proud Pokémon;flying
Zoroark;45.0;1.6;5;Illusion Fox Pokémon;dark
Archen;45.0;0.5;5;First Bird Pokémon;flying
Butterfree;45.0;1.1;1;Butterfly Pokémon;flying
Magmortar;30.0;1.6;4;Blast Pokémon;fire
Hitmonlee;45.0;1.5;1;Kicking Pokémon;rock
Milotic;60.0;6.2;3;Tender Pokémon;water
Pineco;190.0;0.6;2;Bagworm Pokémon;bug
Klink;130.0;0.3;5;Gear Pokémon;steel
Floatzel;75.0;1.1;4;Sea Weasel Pokémon;water
Noctowl;90.0;1.6;2;Owl Pokémon;flying
Chinchou;190.0;0.5;2;Angler Pokémon;electric
Rowlet;45.0;0.3;7;Grass Quill Pokémon;flying
Oricorio;45.0;0.6;7;Dancing Pokémon;flying
Baltoy;255.0;0.5;3;Clay Doll Pokémon;psychic
Mismagius;45.0;0.9;4;Magical Pokémon;ghost
Foongus;190.0;0.2;5;Mushroom Pokémon;poison
Breloom;90.0;1.2;3;Mushroom Pokémon;fighting
Garchomp;45.0;1.9;4;Mach Pokémon;ground
Trevenant;60.0;1.5;6;Elder Tree Pokémon;grass
Pyukumuku;60.0;0.3;7;Sea Cucumber Pokémon;water
Scrafty;90.0;1.1;5;Hoodlum Pokémon;fighting
Latios;3.0;2.0;3;Eon Pokémon;psychic
Gulpin;225.0;0.4;3;Stomach Pokémon;poison
Fennekin;45.0;0.4;6;Fox Pokémon;fire
Huntail;60.0;1.7;3;Deep Sea Pokémon;water
Nihilego;45.0;1.2;7;Parasite Pokémon;poison
Magikarp;255.0;0.9;1;Fish Pokémon;water
Shuppet;225.0;0.6;3;Puppet Pokémon;ghost
Noibat;190.0;0.5;6;Sound Wave Pokémon;dragon
Azumarill;75.0;0.8;2;Aquarabbit Pokémon;fairy
Murkrow;30.0;0.5;2;Darkness Pokémon;flying
Miltank;45.0;1.2;2;Milk Cow Pokémon;normal
Oddish;255.0;0.5;1;Weed Pokémon;poison
Gallade;45.0;1.6;4;Blade Pokémon;fighting
Rufflet;190.0;0.5;5;Eaglet Pokémon;flying
Genesect;3.0;1.5;5;Paleozoic Pokémon;steel
Archeops;45.0;1.4;5;First Bird Pokémon;flying
Gardevoir;45.0;1.6;3;Embrace Pokémon;fairy
Dragonite;45.0;2.2;1;Dragon Pokémon;flying
Zangoose;90.0;1.3;3;Cat Ferret Pokémon;normal
Teddiursa;120.0;0.6;2;Little Bear Pokémon;fairy
Typhlosion;45.0;1.7;2;Volcano Pokémon;fire
Maractus;255.0;1.0;5;Cactus Pokémon;grass
Remoraid;190.0;0.6;2;Jet Pokémon;water
Duskull;190.0;0.8;3;Requiem Pokémon;ghost
Espurr;190.0;0.3;6;Restraint Pokémon;psychic
Wimpod;90.0;0.5;7;Turn Tail Pokémon;water
Zebstrika;75.0;1.6;5;Thunderbolt Pokémon;electric
Jolteon;45.0;0.8;1;Lightning Pokémon;electric
Froslass;75.0;1.3;4;Snow Land Pokémon;ghost
Musharna;75.0;1.1;5;Drowsing Pokémon;psychic
Tyrunt;45.0;0.8;6;Royal Heir Pokémon;dragon
Caterpie;255.0;0.3;1;Worm Pokémon;bug
Regigigas;3.0;3.7;4;Colossal Pokémon;normal
Tynamo;190.0;0.2;5;EleFish Pokémon;electric
Ledian;90.0;1.4;2;Five Star Pokémon;flying
Glalie;75.0;1.5;3;Face Pokémon;ice
Bisharp;45.0;1.6;5;Sword Blade Pokémon;steel
Makuhita;180.0;1.0;3;Guts Pokémon;fighting
Stufful;140.0;0.5;7;Flailing Pokémon;fighting
Roserade;75.0;0.9;4;Bouquet Pokémon;poison
Spiritomb;100.0;1.0;4;Forbidden Pokémon;dark
Avalugg;55.0;2.0;6;Iceberg Pokémon;ice
Lileep;45.0;1.0;3;Sea Lily Pokémon;grass
Exeggcute;90.0;0.4;1;Egg Pokémon;psychic
Emboar;45.0;1.6;5;Mega Fire Pig Pokémon;fighting
Seaking;60.0;1.3;1;Goldfish Pokémon;water
Chimchar;45.0;0.5;4;Chimp Pokémon;fire
Goomy;45.0;0.3;6;Soft Tissue Pokémon;dragon
Deoxys;3.0;1.7;3;DNA Pokémon;psychic
Accelgor;75.0;0.8;5;Shell Out Pokémon;poison
Type: Null;3.0;1.9;7;Synthetic Pokémon;normal
Gliscor;30.0;2.0;4;Fang Scorp Pokémon;flying
Granbull;75.0;1.4;2;Fairy Pokémon;fairy
Electrike;120.0;0.6;3;Lightning Pokémon;electric
Vikavolt;45.0;1.5;7;Stag Beetle Pokémon;electric
Elgyem;255.0;0.5;5;Cerebral Pokémon;psychic
Heatran;3.0;1.7;4;Lava Dome Pokémon;steel
Machop;180.0;0.8;1;Superpower Pokémon;normal
Cosmog;45.0;0.2;7;Nebula Pokémon;psychic
Cinccino;60.0;0.5;5;Scarf Pokémon;normal
Nidoran♂;235.0;0.5;1;Poison Pin Pokémon;poison
Munchlax;50.0;0.6;4;Big Eater Pokémon;normal
Spinda;255.0;1.1;3;Spot Panda Pokémon;normal
Abra;200.0;0.9;1;Psi Pokémon;psychic
Komala;45.0;0.4;7;Drowsing Pokémon;normal
Charizard;45.0;1.7;1;Flame Pokémon;flying
Buzzwole;25.0;2.4;7;Swollen Pokémon;fighting
Kyogre;3.0;4.5;3;Sea Basin Pokémon;water
Onix;45.0;8.8;1;Rock Snake Pokémon;ground
Gastrodon;75.0;0.9;4;Sea Slug Pokémon;ground
Aggron;45.0;2.1;3;Iron Armor Pokémon;rock
Porygon-Z;30.0;0.9;4;Virtual Pokémon;normal
Croagunk;140.0;0.7;4;Toxic Mouth Pokémon;fighting
Excadrill;60.0;0.7;5;Subterrene Pokémon;steel
Barboach;190.0;0.4;3;Whiskers Pokémon;ground
Gurdurr;90.0;1.2;5;Muscular Pokémon;fighting
Nidoran♀;235.0;0.4;1;Poison Pin Pokémon;poison
Yungoos;255.0;0.4;7;Loitering Pokémon;normal
Shedinja;45.0;0.8;3;Shed Pokémon;ghost
Starly;255.0;0.3;4;Starling Pokémon;flying
Pelipper;45.0;1.2;3;Water Bird Pokémon;flying
Shiinotic;75.0;1.0;7;Illuminating Pokémon;fairy
Poliwag;255.0;0.6;1;Tadpole Pokémon;water
Jirachi;3.0;0.3;3;Wish Pokémon;psychic
Gengar;45.0;1.5;1;Shadow Pokémon;poison
Blitzle;190.0;0.8;5;Electrified Pokémon;electric
Bounsweet;235.0;0.3;7;Fruit Pokémon;grass
Pinsir;45.0;1.5;1;Stagbeetle Pokémon;bug
Loudred;120.0;1.0;3;Big Voice Pokémon;normal
Hippowdon;60.0;2.0;4;Heavyweight Pokémon;ground
Aipom;45.0;0.8;2;Long Tail Pokémon;poison
Mantyke;25.0;1.0;4;Kite Pokémon;flying
Palkia;3.0;4.2;4;Spatial Pokémon;dragon
Golurk;90.0;2.8;5;Automaton Pokémon;ghost
Blaziken;45.0;1.9;3;Blaze Pokémon;fighting
Hippopotas;140.0;0.8;4;Hippo Pokémon;ground
Electivire;30.0;1.8;4;Thunderbolt Pokémon;electric
Stunky;225.0;0.4;4;Skunk Pokémon;dark
Zubat;255.0;0.8;1;Bat Pokémon;flying
Drampa;70.0;3.0;7;Placid Pokémon;dragon
Tyrantrum;45.0;2.5;6;Despot Pokémon;dragon
Kangaskhan;45.0;2.2;1;Parent Pokémon;normal
Misdreavus;45.0;0.7;2;Screech Pokémon;ghost
Snorunt;190.0;0.7;3;Snow Hat Pokémon;ice
Lunala;45.0;4.0;7;Moone Pokémon;ghost
Corphish;205.0;0.6;3;Ruffian Pokémon;water
Metagross;3.0;1.6;3;Iron Leg Pokémon;psychic
Tsareena;45.0;1.2;7;Fruit Pokémon;grass
Ambipom;45.0;1.2;4;Long Tail Pokémon;normal
Pachirisu;200.0;0.4;4;EleSquirrel Pokémon;electric
Exploud;45.0;1.5;3;Loud Noise Pokémon;normal
Mew;45.0;0.4;1;New Species Pokémon;psychic
Hakamo-o;45.0;1.2;7;Scaly Pokémon;fighting
Floette;120.0;0.2;6;Fairy Pokémon;fairy
Phanpy;120.0;0.5;2;Long Nose Pokémon;ground
Jellicent;60.0;2.2;5;Floating Pokémon;ghost
Drifblim;60.0;1.2;4;Blimp Pokémon;flying
Chandelure;45.0;1.0;5;Luring Pokémon;fire
Scraggy;180.0;0.6;5;Shedding Pokémon;fighting
Honchkrow;30.0;0.9;4;Big Boss Pokémon;flying
Cubone;190.0;0.4;1;Lonely Pokémon;ghost
Magnemite;190.0;0.3;1;Magnet Pokémon;steel
Delphox;45.0;1.5;6;Fox Pokémon;psychic
Tangela;45.0;1.0;1;Vine Pokémon;grass
Aerodactyl;45.0;1.8;1;Fossil Pokémon;flying
Skitty;255.0;0.6;3;Kitten Pokémon;normal
Heliolisk;75.0;1.0;6;Generator Pokémon;normal
Starmie;60.0;1.1;1;Mysterious Pokémon;psychic
Toxicroak;75.0;1.3;4;Toxic Mouth Pokémon;fighting
Gabite;45.0;1.4;4;Cave Pokémon;ground
Walrein;45.0;1.4;3;Ice Break Pokémon;water
Wobbuffet;45.0;1.3;2;Patient Pokémon;psychic
Pikachu;190.0;0.4;1;Mouse Pokémon;electric
Masquerain;75.0;0.8;3;Eyeball Pokémon;flying
Politoed;45.0;1.1;2;Frog Pokémon;water
Chimecho;45.0;0.6;3;Wind Chime Pokémon;psychic
Quilladin;45.0;0.7;6;Spiny Armor Pokémon;grass
Victreebel;45.0;1.7;1;Flycatcher Pokémon;poison
Poliwhirl;120.0;1.0;1;Tadpole Pokémon;water
Slakoth;255.0;0.8;3;Slacker Pokémon;normal
Beheeyem;90.0;1.0;5;Cerebral Pokémon;psychic
Amaura;45.0;1.3;6;Tundra Pokémon;ice
Phantump;120.0;0.4;6;Stump Pokémon;grass
Tangrowth;30.0;2.0;4;Vine Pokémon;grass
Cutiefly;190.0;0.1;7;Bee Fly Pokémon;fairy
Necrozma;3.0;2.4;7;Prism Pokémon;psychic
Clefairy;150.0;0.6;1;Fairy Pokémon;fairy
Unown;225.0;0.5;2;Symbol Pokémon;psychic
Clauncher;225.0;0.5;6;Water Gun Pokémon;water
Gyarados;45.0;6.5;1;Atrocious Pokémon;flying
Marshtomp;45.0;0.7;3;Mud Fish Pokémon;ground
Arcanine;75.0;1.9;1;Legendary Pokémon;fire
Sentret;255.0;0.8;2;Scout Pokémon;normal
Vanillish;120.0;1.1;5;Icy Snow Pokémon;ice
Donphan;60.0;1.1;2;Armor Pokémon;ground
Ralts;235.0;0.4;3;Feeling Pokémon;fairy
Altaria;45.0;1.1;3;Humming Pokémon;flying
Solosis;200.0;0.3;5;Cell Pokémon;psychic
Aurorus;45.0;2.7;6;Tundra Pokémon;ice
Finneon;190.0;0.4;4;Wing Fish Pokémon;water
Nosepass;255.0;1.0;3;Compass Pokémon;rock
Shuckle;190.0;0.6;2;Mold Pokémon;rock
Kabuto;45.0;0.5;1;Shellfish Pokémon;water
Ferroseed;255.0;0.6;5;Thorn Seed Pokémon;steel
Electrode;60.0;1.2;1;Ball Pokémon;electric
Doublade;90.0;0.8;6;Sword Pokémon;ghost
Kecleon;200.0;1.0;3;Color Swap Pokémon;normal
Fletchling;255.0;0.3;6;Tiny Robin Pokémon;flying
Staraptor;45.0;1.2;4;Predator Pokémon;flying
Slowpoke;190.0;1.2;1;Dopey Pokémon;psychic
Mesprit;3.0;0.3;4;Emotion Pokémon;psychic
Lurantis;75.0;0.9;7;Bloom Sickle Pokémon;grass
Numel;255.0;0.7;3;Numb Pokémon;ground
Bayleef;45.0;1.2;2;Leaf Pokémon;grass
Deino;45.0;0.8;5;Irate Pokémon;dragon
Swellow;45.0;0.7;3;Swallow Pokémon;flying
Giratina;3.0;4.5;4;Renegade Pokémon;dragon
Mantine;25.0;2.1;2;Kite Pokémon;flying
Whismur;190.0;0.6;3;Whisper Pokémon;normal
Chikorita;45.0;0.9;2;Leaf Pokémon;grass
Poochyena;255.0;0.5;3;Bite Pokémon;dark
Pansage;190.0;0.6;5;Grass Monkey Pokémon;grass
Venomoth;75.0;1.5;1;Poison Moth Pokémon;poison
Snivy;45.0;0.6;5;Grass Snake Pokémon;grass
Grovyle;45.0;0.9;3;Wood Gecko Pokémon;ghost
Mr. Mime;45.0;1.3;1;Barrier Pokémon;fairy
Omastar;45.0;1.0;1;Spiral Pokémon;water
Samurott;45.0;1.5;5;Formidable Pokémon;water
Fraxure;60.0;1.0;5;Axe Jaw Pokémon;dragon
Araquanid;100.0;1.8;7;Water Bubble Pokémon;water
Glaceon;45.0;0.8;4;Fresh Snow Pokémon;ice
Anorith;45.0;0.7;3;Old Shrimp Pokémon;bug
Vullaby;190.0;0.5;5;Diapered Pokémon;flying
Brionne;45.0;0.6;7;Pop Star Pokémon;water
Lotad;255.0;0.5;3;Water Weed Pokémon;grass
Absol;30.0;1.2;3;Disaster Pokémon;dark
Crabrawler;225.0;0.6;7;Boxing Pokémon;fighting
Cyndaquil;45.0;0.5;2;Fire Mouse Pokémon;fire
Staravia;120.0;0.6;4;Starling Pokémon;flying
Greninja;45.0;1.5;6;Ninja Pokémon;dark
Omanyte;45.0;0.4;1;Spiral Pokémon;water
Ditto;35.0;0.3;1;Transform Pokémon;normal
Crawdaunt;155.0;1.1;3;Rogue Pokémon;dark
Girafarig;60.0;1.5;2;Long Neck Pokémon;psychic
Carvanha;225.0;0.8;3;Savage Pokémon;dark
